土地位置,用途,土地面积(平方米),建筑规模(平方米)/容积率,起始价(万元),竞得单位,竞得时间,成交价(万元),出让方式
两江新区水土组团A标准分区A11-2/02（部分一）号宗地,一类工业用地,120348,≤2.0,4838,重庆两江新区产业发展集团有限公司,2017年2月15日,4838,挂牌
渝北区两路组团A标准分区A104-2/03号宗地,商业用地、商务用地、二类居住用地,54232,≤162696,25110,重庆市涪陵金宏房地产开发有限公司,2017年2月16日,25400,拍卖
大渡口区大渡口组团F分区F1-9-2号宗地,二类居住用地,26430,≤105600,36960,重庆旭鹏房地产开发有限公司,2017年2月16日,37400,拍卖
两江新区龙兴组团F标准分区F12-1/03号宗地,二类居住用地,88012,≤88013,19803,重庆两江新区置业发展有限公司,2017年2月15日,19803,挂牌
渝北区两路组团A分区A092/02、A101-1/03号宗地,一类工业用地、二类工业用地,58619,≥0.7,5276,重庆圆汇货运代理有限公司,2017年2月9日,5276,挂牌
九龙坡区西永组团Z分区Z9-6/03号宗地,一类工业用地,17274,≥0.7,2021,重庆市路苑公路服务有限公司,2017年2月9日,2021,挂牌
沙坪坝区沙坪坝组团A标准分区A03-10/02、A03-11/02号宗地,商业用地、商务用地,49951,≤51616(含保留建筑),30970,金融街重庆置业有限公司,2017年2月9日,30970,挂牌
九龙坡区大杨石组团D分区D5-3/03、D8-2-1/04号宗地,二类居住用地,30494,≤68525,26001,四川蓝光和骏实业有限公司,2017年2月10日,55000,拍卖
巴南区接龙镇组团分区A2-06/02号宗地,二类居住用地、商业用地,35104,≤70208,4432,重庆市景园房地产开发有限公司,2017年2月10日,4432,挂牌
两江新区水土组团A标准分区A16-8/01号宗地,一类工业用地,19910,≥0.7,502,重庆发那科机器人有限公司,2017年1月26日,502,挂牌
南岸区茶园组团M分区M17-1-1/03号宗地,一类工业用地,7372,≥1.0,457,重庆槟城科技有限公司,2017年1月26日,457,挂牌
南岸区茶园组团C分区C12-2/01号宗地,二类工业用地,11228,≥0.7,764,太极集团重庆桐君阁药厂有限公司,2017年1月26日,764,挂牌
巴南区界石组团S分区S13-1/03号宗地,二类工业用地,135747,≥1.0,6383,重庆新康意安得达尔新材料有限公司,2017年1月26日,6383,挂牌
沙坪坝区西永组团L分区L70/04号宗地,娱乐康体用地、商业用地,173147,≤62725,22336,大连万达商业地产股份有限公司,2017年1月26日,22336,挂牌
沙坪坝区西永组团L标准分区L77-3/02、L77-4/02、L77-5/02号宗地,二类居住用地、一类居住用地,135649,≤224059,31181,大连万达商业地产股份有限公司,2017年1月26日,31181,挂牌
沙坪坝区西永组团L标准分区L67-3/06、L72-7/02、L72-8/02、L72-4/01号宗地,二类居住用地,157885,≤279445,40136,大连万达商业地产股份有限公司,2017年1月26日,40136,挂牌
沙坪坝区西永组团L标准分区L73-1/01、L73-2/02、L73-4/02、L73-10/02号宗地,二类居住用地,176952,≤460505,50861,大连万达商业地产股份有限公司,2017年1月26日,50861,挂牌
南岸区南坪组团F标准分区F2-2/04部分宗地,商业用地、商务用地、二类居住用地,12243,≤55828,18145,长江重庆航道工程局、重庆港九波顿发展有限责任公司,2017年1月26日,18145,挂牌
沙坪坝区西永组团S标准分区S9-1/01号宗地,教育科研用地,125013,≤312533,26503,重庆龙润科技有限公司,2017年1月25日,26503,挂牌
北碚区组团三圣分区B1-1/03号宗地,二类居住用地、商务用地,12144,≤30360,1389,重庆三圣实业股份有限公司,2017年1月25日,1389,挂牌
九龙坡区大杨石组团L分区L10-4-1/03、LB9-1/06号宗地,二类居住用地,46719,≤140621,51327,中海地产集团有限公司,2017年3月24日,108500,拍卖
九龙坡区西彭组团D分区D54-3/05号宗地,一类仓储物流用地,35341,≤1.5,2125,重庆西彭宝湾国际物流有限公司,2017年3月13日,2125,挂牌
南岸区茶园组团M分区M14-1/02、M15-1/02、M17-1/02号宗地,仓储用地,266037,≤1.5,17055,重庆永翔市场经营管理有限公司,2017年3月13日,17055,挂牌
两江新区水土组团E标准分区E17-1/01、E18-1/01号宗地,一类工业用地,105134,≤2.0,4227,重庆金科科健置业有限公司,2017年3月13日,4227,挂牌
两江新区水土组团A标准分区A11-2/02（部分二）号宗地,一类工业用地,21435,≥0.7,2100,重庆德新机器人检测中心有限公司,2017年3月13日,2100,挂牌
沙坪坝区沙坪坝组团B分区B12/02号宗地,二类居住用地,26325,≤181642,74474,万科（重庆）房地产有限公司,2017年3月13日,74474,挂牌
两江新区水土组团A标准分区A11-1/02（部分二）号宗地,B29-其它商务用地（生产性服务业用地）,8199,≤16398,1600,重庆德新机器人检测中心有限公司,2017年3月13日,1600,挂牌
两江新区水土组团A标准分区A11-1/02（部分一）号宗地,B29-其它商务用地（生产性服务业用地）,19060,≤38120,2516,重庆两江新区产业发展集团有限公司,2017年3月13日,2516,挂牌
两江新区龙兴组团F分区F15-3/04号宗地,其它服务设施用地（民办学校）,38511,按规划要求,2311,重庆两江新区新南教育信息咨询服务有限公司,2017年3月13日,2311,挂牌
两江新区两路组团J分区J15-1-2/05号宗地,商业用地、商务用地,58099,≤116198,19464,重庆保税港区开发管理集团有限公司,2017年3月13日,19464,挂牌
北碚区蔡家组团P分区P02-3/02、P03-2/01、P02-2/02号宗地,一类居住用地,176359,≤196443,56148,重庆龙湖地产发展有限公司、深圳联新投资管理有限公司,2016年12月27日,56148,拍卖
两江新区龙兴组团H分区H56-1/01、H62-1/01、H64-1/01、H68-1/01号宗地,二类居住用地,85877,≤85881(总建筑面积),15115,重庆两江新区置业发展有限公司,2016年12月27日,20200,拍卖
两江新区龙兴组团H分区H58-1/02、H63-1/02、H65-1/01、H69-1/01号宗地,二类居住用地,150945,≤150949(总建筑面积),26594,重庆两江新区置业发展有限公司,2016年12月27日,36000,拍卖
两江新区龙兴组团H标准分区H60-1/02、H61-1/02、H66-1/02、H67-1/01、H69-2/01号宗地,二类居住用地,139607,≤139612(总建筑面积),24432,重庆两江新区置业发展有限公司,2016年12月27日,32500,拍卖
两江新区水土组团A标准分区A23-5/02号宗地,加油加气站用地,3899,按规划要求,1786,重庆中油两江发展有限公司,2016年12月27日,1786,挂牌
江北区观音桥组团I分区I02-1/03号宗地,商业商务兼容居住用地,8156,≤28546,15015,重庆河东房地产开发有限公司,2016年12月27日,15015,挂牌
两江新区两路组团C标准分区C75-1/04、C77-1/03、C79-1/02、C80-1/02、C82-3/03、C83-1/03号宗地,二类居住用地、商业用地、商务用地,157925,≤437910,154377,重庆金辉长江房地产有限公司,2016年12月26日,284000,拍卖
两江新区两路组团C标准分区C65-3/03、C68-1/04、C74-2/04、C74-1/04、C69-1/02、C76-2/03、C76-1/03、C81-1/03号宗地,二类居住用地、商业用地、商务用地,200112,≤540233,194254,华润置地（成都）有限公司,2016年12月26日,333000,拍卖
渝北区唐家沱组团C分区C3-33/02号宗地,一类工业用地,67737,≥0.8,4607,重庆市朗萨家私（集团）有限公司,2016年12月23日,4607,挂牌
南岸区南坪组团D分区D13-10-1/03号宗地,二类居住及商业混合用地,26311,≤92089,27948,重庆伟清房地产开发有限公司,2016年12月23日,63200,拍卖
两江新区悦来组团D分区D02-2/05、D04-4/05、D03-2/06、D04-1-1/07号宗地,二类居住用地,206303,≤434854,169594,四川友华房地产开发有限公司、自贡市龙宇置业有限公司,2017年1月26日,262000,拍卖
九龙坡区西永组团Y分区Y05-4-1/02（部分5）号宗地,一类工业用地,19976,≥1.0,1499,重庆瑜欣平瑞电子股份有限公司,2017年1月20日,1499,挂牌
九龙坡区西永组团Y分区Y05-4-1/02（部分四）号宗地,一类工业用地,7813,≥0.7,580,重庆盛德物流有限公司,2017年1月20日,580,挂牌
沙坪坝区西永组团W标准分区W13-1/02、W14-1/02、W15-1/02号宗地,二类居住用地,199900,≤299851,44978,重庆龙湖地产发展有限公司,2017年1月26日,44978,挂牌
渝北区两路组团GA标准分区Ga16-1/01号宗地,一类工业用地,59854,≥0.7,4071,重庆大江北辰新能源汽车产业发展有限公司,2017年1月12日,4071,挂牌
